	SOI	ZW3	SAM	e1_sic	e2_sic	e1_wsc	e2_wsc	e1_ssh	e2_ssh	m1wsc_sic_WSC	m2wsc_sic_WSC	m1wsc_sic_SIC	m2wsc_sic_SIC	m1ssh_sic_SSH	m2ssh_sic_SSH	m1ssh_sic_SIC	m2ssh_sic_SIC	m1wsc_ssh_WSC	m2wsc_ssh_WSC	m1wsc_ssh_SSH	m2wsc_ssh_SSH
SOI	0.000	0.036	-0.040	0.028	0.021	0.015	0.102	0.049	-0.039	0.026	-0.061	-0.005	-0.077	0.017	-0.007	-0.011	-0.020	-0.018	-0.077	0.025	-0.049
ZW3	0.036	0.000	0.019	-0.007	0.009	-0.007	-0.045	0.015	0.058	-0.001	0.027	0.014	0.041	-0.001	0.070	0.035	0.026	0.005	0.047	0.076	0.008
SAM	-0.040	0.019	0.000	0.035	0.027	0.017	-0.013	-0.008	-0.034	0.015	-0.013	0.028	-0.026	0.038	-0.039	0.024	-0.005	-0.022	-0.013	-0.024	-0.022
e1_sic	0.028	-0.007	0.035	0.000	0.020	0.048	-0.007	0.066	-0.024	0.044	0.004	0.038	-0.067	0.059	-0.031	0.031	-0.033	-0.041	-0.021	0.000	-0.063
e2_sic	0.021	0.009	0.027	0.020	0.000	0.018	0.007	-0.100	0.011	0.013	-0.047	-0.032	-0.001	-0.083	-0.025	0.007	0.055	-0.013	0.014	-0.016	0.046
e1_wsc	0.015	-0.007	0.017	0.048	0.018	0.000	0.048	0.026	-0.071	0.003	-0.096	0.044	-0.092	0.053	-0.060	0.025	-0.030	-0.002	-0.051	-0.047	-0.054
e2_wsc	0.102	-0.045	-0.013	-0.007	0.007	0.048	0.000	0.015	0.002	0.053	-0.038	-0.012	-0.086	0.018	0.004	0.017	-0.001	-0.041	-0.005	0.010	-0.019
e1_ssh	0.049	0.015	-0.008	0.066	-0.100	0.026	0.015	0.000	-0.039	0.023	-0.047	-0.069	-0.063	0.008	-0.037	-0.008	-0.005	-0.022	-0.013	-0.023	-0.015
e2_ssh	-0.039	0.058	-0.034	-0.024	0.011	-0.071	0.002	-0.039	0.000	-0.069	0.029	-0.084	0.055	-0.082	0.023	0.002	0.073	0.072	0.018	0.032	0.046
m1wsc_sic_WSC	0.026	-0.001	0.015	0.044	0.013	0.003	0.053	0.023	-0.069	0.000	-0.103	0.047	-0.100	0.047	-0.056	0.022	-0.041	-0.001	-0.054	-0.042	-0.051
m2wsc_sic_WSC	-0.061	0.027	-0.013	0.004	-0.047	-0.096	-0.038	-0.047	0.029	-0.103	0.000	-0.036	0.050	-0.049	0.032	-0.045	-0.020	0.091	0.040	0.031	0.061
m1wsc_sic_SIC	-0.005	0.014	0.028	0.038	-0.032	0.044	-0.012	-0.069	-0.084	0.047	-0.036	0.000	-0.055	-0.033	-0.082	-0.044	-0.053	-0.048	0.012	-0.059	0.018
m2wsc_sic_SIC	-0.077	0.041	-0.026	-0.067	-0.001	-0.092	-0.086	-0.063	0.055	-0.100	0.050	-0.055	0.000	-0.020	0.053	-0.020	0.028	0.089	0.083	0.020	0.099
m1ssh_sic_SSH	0.017	-0.001	0.038	0.059	-0.083	0.053	0.018	0.008	-0.082	0.047	-0.049	-0.033	-0.020	0.000	-0.082	-0.010	-0.040	-0.046	-0.012	-0.058	-0.015
m2ssh_sic_SSH	-0.007	0.070	-0.039	-0.031	-0.025	-0.060	0.004	-0.037	0.023	-0.056	0.032	-0.082	0.053	-0.082	0.000	0.004	0.040	0.064	0.019	0.017	0.043
m1ssh_sic_SIC	-0.011	0.035	0.024	0.031	0.007	0.025	0.017	-0.008	0.002	0.022	-0.045	-0.044	-0.020	-0.010	0.004	0.000	0.021	-0.019	-0.021	0.010	-0.022
m2ssh_sic_SIC	-0.020	0.026	-0.005	-0.033	0.055	-0.030	-0.001	-0.005	0.073	-0.041	-0.020	-0.053	0.028	-0.040	0.040	0.021	0.000	0.040	-0.006	0.036	0.027
m1wsc_ssh_WSC	-0.018	0.005	-0.022	-0.041	-0.013	-0.002	-0.041	-0.022	0.072	-0.001	0.091	-0.048	0.089	-0.046	0.064	-0.019	0.040	0.000	0.044	0.048	0.044
m2wsc_ssh_WSC	-0.077	0.047	-0.013	-0.021	0.014	-0.051	-0.005	-0.013	0.018	-0.054	0.040	0.012	0.083	-0.012	0.019	-0.021	-0.006	0.044	0.000	0.006	0.012
m1wsc_ssh_SSH	0.025	0.076	-0.024	0.000	-0.016	-0.047	0.010	-0.023	0.032	-0.042	0.031	-0.059	0.020	-0.058	0.017	0.010	0.036	0.048	0.006	0.000	0.027
m2wsc_ssh_SSH	-0.049	0.008	-0.022	-0.063	0.046	-0.054	-0.019	-0.015	0.046	-0.051	0.061	0.018	0.099	-0.015	0.043	-0.022	0.027	0.044	0.012	0.027	0.000
