IceSheet,x,y
RossIS,1311.7,132.227273
RossIS,1777.319355,98.571429
RossIS,1612.706452,68.233766
RossIS,1212.932258,77.714286
RossIS,1071.835484,97.149351
Sulzberger,902.519355,84.350649
Sulzberger,1029.506452,92.883117
Sulzberger,1189.416129,80.084416
Sulzberger,1147.087097,71.077922
Sulzberger,930.73871,72.5
Getz,577.996774,105.207792
Getz,676.764516,109.948052
Getz,879.003226,87.668831
Getz,841.377419,77.714286
Getz,615.622581,91.935065
Dotson,617.276296,117.446281
Dotson,688.43155,119.416259
Dotson,701.646098,110.428234
Dotson,619.309303,108.088885
Crosson,597.939969,123.597845
Crosson,664.778876,126.99144
Crosson,685.055848,120.807556
Crosson,650.509896,118.31892
Crosson,592.682976,121.637102
Thwaites,661.607992,126.664393
Thwaites,583.473757,123.982607
Thwaites,627.228928,118.553624
Thwaites,683.485578,119.273128
Cosgrove,520.860166,123.867178
Cosgrove,517.901686,130.977568
Cosgrove,532.694089,133.670897
Cosgrove,558.137024,128.930638
Cosgrove,549.261582,124.729044
Abbot,414.370031,147.825498
Abbot,524.971696,148.097909
Abbot,513.365349,118.859125
Abbot,410.273673,119.676358
Venable,447.156067,148.147158
Venable,513.805328,148.184095
Venable,523.5759,152.136364
Venable,501.243163,153.687721
Venable,465.650364,152.136364
Stange,523.226951,171.846918
Stange,583.534443,170.300177
Stange,537.700749,161.225966
Stange,467.744058,167.309812
Stange,482.217856,170.918873
Bach,476.801561,181.364374
Bach,515.944537,180.911895
Bach,505.020916,172.993506
Bach,457.685224,173.106626
Bach,457.685224,179.101978
Wilkins,326.503153,184.862624
Wilkins,458.830687,184.745657
Wilkins,452.754422,176.265517
Wilkins,337.980541,174.511005
George VI,392.416587,188.676379
George VI,573.870073,187.097318
George VI,570.380583,170.604908
George VI,535.485682,170.078555
George VI,501.288678,175.049671
George VI,518.736129,180.079271
George VI,466.393777,183.997681
George VI,386.833403,185.927644
Larsen,708.139584,190.645587
Larsen,659.08949,186.7241
Larsen,440.677752,196.877952
Larsen,320.366202,194.847181
Larsen,226.893382,200.239227
Larsen,199.129178,212.633929
Larsen,290.751051,215.154885
Filchner-Ronne IS,640.625536,185.727568
Filchner-Ronne IS,726.224246,190.649435
Filchner-Ronne IS,948.504766,194.435487
Filchner-Ronne IS,1058.954714,202.00759
Filchner-Ronne IS,1191.494651,201.755186
Filchner-Ronne IS,1161.120916,163.13746
Filchner-Ronne IS,793.874839,151.148297
Filchner-Ronne IS,657.193028,162.758855
Brunt,1122.933757,231.757337
Brunt,1198.033652,222.719293
Brunt,1093.89513,214.616219
Brunt,1067.860499,218.56387
Brunt,1081.879147,222.407636
Brunt,1051.839188,226.978601
Brunt,1081.879147,231.237909
Riiser-Larsen,1093.257919,235.053972
Riiser-Larsen,1202.023809,222.089054
Riiser-Larsen,1281.311093,245.913476
Riiser-Larsen,1272.16256,248.794569
Riiser-Larsen,1229.469407,249.016192
Riiser-Larsen,1126.802539,240.372913
Fimbul,1169.988772,251.318603
Fimbul,1306.215432,247.193962
Fimbul,1713.23411,252.96846
Fimbul,1706.588907,260.083467
Fimbul,1437.458189,264.311224
Lazarev,1704.131093,259.391666
Lazarev,1717.717347,254.409776
Lazarev,1752.437773,253.004628
Lazarev,1793.196535,258.114258
Lazarev,1756.966524,260.477462
Borchgrevnik,1781.481636,257.846744
Borchgrevnik,1766.315422,252.310581
Borchgrevnik,1826.980281,245.591936
Borchgrevnik,1898.071912,246.075678
Borchgrevnik,1932.195895,251.665591
Borchgrevnik,1840.250718,256.18052
Roi Baudoin,1930.067992,250.779168
Roi Baudoin,1888.527888,245.097782
Roi Baudoin,1932.313403,241.063175
Roi Baudoin,2100.71923,241.145514
Roi Baudoin,2119.805224,247.897306
Roi Baudoin,2079.387825,249.050051
Amery,2256.911842,183.138894
Amery,2584.013611,193.52745
Amery,2642.424641,188.125401
Amery,2613.219126,172.68108
West,2728.395057,167.175915
West,2824.500166,156.233302
West,2797.130427,146.491145
West,2710.97795,163.436035
Shackleton,2762.948595,139.810149
Shackleton,2897.969105,133.244582
Shackleton,2838.002976,110.265095
Shackleton,2782.679386,112.51441
Totten,2597.001072,77.985551
Totten,2601.910829,83.958621
Totten,2638.087983,94.156546
Totten,2654.109294,94.192967
Totten,2669.613789,86.763051
Totten,2614.831241,79.223871
Moscow University,2575.778732,74.034788
Moscow University,2577.961695,82.746784
Moscow University,2598.290532,82.696715
Moscow University,2598.290532,76.905407
Moscow University,2603.884373,76.204442
Moscow University,2597.199051,74.168305
Mertz,2169.052549,43.076531
Mertz,2223.670656,43.178108
Mertz,2216.388241,33.782236
Mertz,2174.51436,34.036178
Ninnis,2081.360146,42.573263
Ninnis,2157.825494,42.164646
Ninnis,2161.921852,38.895714
Ninnis,2095.014672,38.986518
Cook,1979.78564,38.050008
Cook,2050.713319,38.050008
Cook,2030.079813,33.802243
Cook,1991.391988,34.263957
Rennick,1792.733798,45.408184
Rennick,1833.697378,38.490175
Rennick,1795.646764,38.203913
Rennick,1773.981582,44.764094
Nansen,1661.771717,68.319953
Nansen,1736.62128,69.304942
Nansen,1730.362955,64.872491
Nansen,1714.84231,59.639737
Nansen,1660.269719,64.195311
