IceSheet,x,y
Brunt,1122.933757,231.757337
Brunt,1198.033652,222.719293
Brunt,1093.89513,214.616219
Brunt,1067.860499,218.56387
Brunt,1081.879147,222.407636
Brunt,1051.839188,226.978601
Brunt,1081.879147,231.237909
Riiser-Larsen,1093.257919,235.053972
Riiser-Larsen,1202.023809,222.089054
Riiser-Larsen,1281.311093,245.913476
Riiser-Larsen,1272.16256,248.794569
Riiser-Larsen,1229.469407,249.016192
Riiser-Larsen,1126.802539,240.372913
Fimbul,1169.988772,251.318603
Fimbul,1306.215432,247.193962
Fimbul,1713.23411,252.96846
Fimbul,1706.588907,260.083467
Fimbul,1437.458189,264.311224
Lazarev,1704.131093,259.391666
Lazarev,1717.717347,254.409776
Lazarev,1752.437773,253.004628
Lazarev,1793.196535,258.114258
Lazarev,1756.966524,260.477462
Borchgrevnik,1781.481636,257.846744
Borchgrevnik,1766.315422,252.310581
Borchgrevnik,1826.980281,245.591936
Borchgrevnik,1898.071912,246.075678
Borchgrevnik,1932.195895,251.665591
Borchgrevnik,1840.250718,256.18052
Roi Baudoin,1930.067992,250.779168
Roi Baudoin,1888.527888,245.097782
Roi Baudoin,1932.313403,241.063175
Roi Baudoin,2100.71923,241.145514
Roi Baudoin,2119.805224,247.897306
Roi Baudoin,2079.387825,249.050051
Amery,2256.911842,183.138894
Amery,2584.013611,193.52745
Amery,2642.424641,188.125401
Amery,2613.219126,172.68108
West,2728.395057,167.175915
West,2824.500166,156.233302
West,2797.130427,146.491145
West,2710.97795,163.436035
Shackleton,2762.948595,139.810149
Shackleton,2897.969105,133.244582
Shackleton,2838.002976,110.265095
Shackleton,2782.679386,112.51441
Totten,2597.001072,77.985551
Totten,2601.910829,83.958621
Totten,2638.087983,94.156546
Totten,2654.109294,94.192967
Totten,2669.613789,86.763051
Totten,2614.831241,79.223871
Moscow University,2575.778732,74.034788
Moscow University,2577.961695,82.746784
Moscow University,2598.290532,82.696715
Moscow University,2598.290532,76.905407
Moscow University,2603.884373,76.204442
Moscow University,2597.199051,74.168305
Mertz,2169.052549,43.076531
Mertz,2223.670656,43.178108
Mertz,2216.388241,33.782236
Mertz,2174.51436,34.036178
Ninnis,2081.360146,42.573263
Ninnis,2157.825494,42.164646
Ninnis,2161.921852,38.895714
Ninnis,2095.014672,38.986518
Cook,1979.78564,38.050008
Cook,2050.713319,38.050008
Cook,2030.079813,33.802243
Cook,1991.391988,34.263957
Rennick,1792.733798,45.408184
Rennick,1833.697378,38.490175
Rennick,1795.646764,38.203913
Rennick,1773.981582,44.764094
Nansen,1661.771717,68.319953
Nansen,1736.62128,69.304942
Nansen,1730.362955,64.872491
Nansen,1714.84231,59.639737
Nansen,1660.269719,64.195311
