IceSheet,x,y
RossIS,1311.7,132.227273
RossIS,1777.319355,98.571429
RossIS,1612.706452,68.233766
RossIS,1212.932258,77.714286
RossIS,1071.835484,97.149351
Sulzberger,902.519355,84.350649
Sulzberger,1029.506452,92.883117
Sulzberger,1189.416129,80.084416
Sulzberger,1147.087097,71.077922
Sulzberger,930.73871,72.5
Getz,577.996774,105.207792
Getz,676.764516,109.948052
Getz,879.003226,87.668831
Getz,841.377419,77.714286
Getz,615.622581,91.935065
Dotson,617.276296,117.446281
Dotson,688.43155,119.416259
Dotson,701.646098,110.428234
Dotson,619.309303,108.088885
Crosson,597.939969,123.597845
Crosson,664.778876,126.99144
Crosson,685.055848,120.807556
Crosson,650.509896,118.31892
Crosson,592.682976,121.637102
Thwaites,661.607992,126.664393
Thwaites,583.473757,123.982607
Thwaites,627.228928,118.553624
Thwaites,683.485578,119.273128
Cosgrove,520.860166,123.867178
Cosgrove,517.901686,130.977568
Cosgrove,532.694089,133.670897
Cosgrove,558.137024,128.930638
Cosgrove,549.261582,124.729044
Abbot,414.370031,147.825498
Abbot,524.971696,148.097909
Abbot,513.365349,118.859125
Abbot,410.273673,119.676358
Venable,447.156067,148.147158
Venable,513.805328,148.184095
Venable,523.5759,152.136364
Venable,501.243163,153.687721
Venable,465.650364,152.136364
Stange,523.226951,171.846918
Stange,583.534443,170.300177
Stange,537.700749,161.225966
Stange,467.744058,167.309812
Stange,482.217856,170.918873
Bach,476.801561,181.364374
Bach,515.944537,180.911895
Bach,505.020916,172.993506
Bach,457.685224,173.106626
Bach,457.685224,179.101978
Wilkins,326.503153,184.862624
Wilkins,458.830687,184.745657
Wilkins,452.754422,176.265517
Wilkins,337.980541,174.511005
George VI,392.416587,188.676379
George VI,573.870073,187.097318
George VI,570.380583,170.604908
George VI,535.485682,170.078555
George VI,501.288678,175.049671
George VI,518.736129,180.079271
George VI,466.393777,183.997681
George VI,386.833403,185.927644
Larsen,708.139584,190.645587
Larsen,659.08949,186.7241
Larsen,440.677752,196.877952
Larsen,320.366202,194.847181
Larsen,226.893382,200.239227
Larsen,199.129178,212.633929
Larsen,290.751051,215.154885
Filchner-Ronne IS,640.625536,185.727568
Filchner-Ronne IS,726.224246,190.649435
Filchner-Ronne IS,948.504766,194.435487
Filchner-Ronne IS,1058.954714,202.00759
Filchner-Ronne IS,1191.494651,201.755186
Filchner-Ronne IS,1161.120916,163.13746
Filchner-Ronne IS,793.874839,151.148297
Filchner-Ronne IS,657.193028,162.758855
