	SOI	ZW3	SAM	e1_sic	e2_sic	e1_wsc	e2_wsc	e1_ssh	e2_ssh	m1wsc_sic_WSC	m2wsc_sic_WSC	m1wsc_sic_SIC	m2wsc_sic_SIC	m1ssh_sic_SSH	m2ssh_sic_SSH	m1ssh_sic_SIC	m2ssh_sic_SIC	m1wsc_ssh_WSC	m2wsc_ssh_WSC	m1wsc_ssh_SSH	m2wsc_ssh_SSH
SOI	1.000	-0.028	-0.121	0.273	0.094	-0.078	0.658	0.506	0.065	-0.048	-0.701	-0.014	-0.501	0.449	0.195	0.308	0.099	0.069	-0.618	0.085	-0.563
ZW3	-0.028	1.000	-0.040	0.228	-0.305	-0.124	-0.036	-0.210	0.122	-0.131	-0.009	-0.271	-0.088	-0.247	0.141	-0.303	0.110	0.125	0.089	0.192	0.167
SAM	-0.121	-0.040	1.000	0.120	0.175	0.788	-0.066	0.158	-0.351	0.739	0.032	0.553	-0.017	0.238	-0.500	0.251	-0.396	-0.766	0.013	-0.596	-0.061
e1_sic	0.273	0.228	0.120	1.000	-0.277	0.141	0.361	0.217	-0.218	0.161	-0.359	0.116	-0.404	0.185	-0.086	0.064	-0.185	-0.145	-0.352	-0.113	-0.285
e2_sic	0.094	-0.305	0.175	-0.277	1.000	0.171	0.128	0.308	0.181	0.164	-0.142	0.396	-0.112	0.370	0.101	0.604	0.078	-0.155	-0.169	-0.034	-0.248
e1_wsc	-0.078	-0.124	0.788	0.141	0.171	1.000	0.000	0.156	-0.598	0.982	0.002	0.743	0.006	0.203	-0.700	0.170	-0.674	-0.994	-0.015	-0.775	-0.054
e2_wsc	0.658	-0.036	-0.066	0.361	0.128	0.000	1.000	0.671	-0.014	0.029	-0.890	0.049	-0.609	0.610	0.249	0.408	0.106	0.005	-0.961	0.083	-0.802
e1_ssh	0.506	-0.210	0.158	0.217	0.308	0.156	0.671	1.000	0.000	0.127	-0.536	0.221	-0.306	0.979	0.027	0.769	0.059	-0.147	-0.778	-0.238	-0.945
e2_ssh	0.065	0.122	-0.351	-0.218	0.181	-0.598	-0.014	0.000	1.000	-0.618	-0.026	-0.518	-0.097	0.065	0.894	0.248	0.812	0.627	-0.019	0.835	-0.067
m1wsc_sic_WSC	-0.048	-0.131	0.739	0.161	0.164	0.982	0.029	0.127	-0.618	1.000	-0.004	0.769	0.011	0.169	-0.694	0.161	-0.701	-0.991	-0.014	-0.758	-0.042
m2wsc_sic_WSC	-0.701	-0.009	0.032	-0.359	-0.142	0.002	-0.890	-0.536	-0.026	-0.004	1.000	-0.032	0.800	-0.465	-0.239	-0.289	-0.089	-0.024	0.832	-0.117	0.632
m1wsc_sic_SIC	-0.014	-0.271	0.553	0.116	0.396	0.743	0.049	0.221	-0.518	0.769	-0.032	1.000	0.046	0.248	-0.578	0.379	-0.769	-0.747	-0.038	-0.638	-0.122
m2wsc_sic_SIC	-0.501	-0.088	-0.017	-0.404	-0.112	0.006	-0.609	-0.306	-0.097	0.011	0.800	0.046	1.000	-0.260	-0.238	-0.221	-0.151	-0.034	0.561	-0.158	0.371
m1ssh_sic_SSH	0.449	-0.247	0.238	0.185	0.370	0.203	0.610	0.979	0.065	0.169	-0.465	0.248	-0.260	1.000	0.049	0.838	0.100	-0.191	-0.736	-0.232	-0.926
m2ssh_sic_SSH	0.195	0.141	-0.500	-0.086	0.101	-0.700	0.249	0.027	0.894	-0.694	-0.239	-0.578	-0.238	0.049	1.000	0.184	0.834	0.721	-0.248	0.954	-0.206
m1ssh_sic_SIC	0.308	-0.303	0.251	0.064	0.604	0.170	0.408	0.769	0.248	0.161	-0.289	0.379	-0.221	0.838	0.184	1.000	0.188	-0.158	-0.518	-0.074	-0.713
m2ssh_sic_SIC	0.099	0.110	-0.396	-0.185	0.078	-0.674	0.106	0.059	0.812	-0.701	-0.089	-0.769	-0.151	0.100	0.834	0.188	1.000	0.696	-0.168	0.764	-0.159
m1wsc_ssh_WSC	0.069	0.125	-0.766	-0.145	-0.155	-0.994	0.005	-0.147	0.627	-0.991	-0.024	-0.747	-0.034	-0.191	0.721	-0.158	0.696	1.000	0.002	0.792	0.047
m2wsc_ssh_WSC	-0.618	0.089	0.013	-0.352	-0.169	-0.015	-0.961	-0.778	-0.019	-0.014	0.832	-0.038	0.561	-0.736	-0.248	-0.518	-0.168	0.002	1.000	-0.047	0.892
m1wsc_ssh_SSH	0.085	0.192	-0.596	-0.113	-0.034	-0.775	0.083	-0.238	0.835	-0.758	-0.117	-0.638	-0.158	-0.232	0.954	-0.074	0.764	0.792	-0.047	1.000	0.045
m2wsc_ssh_SSH	-0.563	0.167	-0.061	-0.285	-0.248	-0.054	-0.802	-0.945	-0.067	-0.042	0.632	-0.122	0.371	-0.926	-0.206	-0.713	-0.159	0.047	0.892	0.045	1.000
