	SOI	ZW3	SAM	e1_sic	e2_sic	e1_wsc	e2_wsc	e1_ssh	e2_ssh	m1wsc_sic_WSC	m2wsc_sic_WSC	m1wsc_sic_SIC	m2wsc_sic_SIC	m1ssh_sic_SSH	m2ssh_sic_SSH	m1ssh_sic_SIC	m2ssh_sic_SIC	m1wsc_ssh_WSC	m2wsc_ssh_WSC	m1wsc_ssh_SSH	m2wsc_ssh_SSH
SOI	1.000	-0.064	-0.081	0.245	0.073	-0.093	0.556	0.457	0.104	-0.074	-0.640	-0.009	-0.424	0.432	0.202	0.319	0.119	0.087	-0.541	0.060	-0.514
ZW3	-0.064	1.000	-0.059	0.235	-0.314	-0.117	0.009	-0.225	0.064	-0.130	-0.036	-0.285	-0.129	-0.246	0.071	-0.338	0.084	0.120	0.042	0.116	0.159
SAM	-0.081	-0.059	1.000	0.085	0.148	0.771	-0.053	0.166	-0.317	0.724	0.045	0.525	0.009	0.200	-0.461	0.227	-0.391	-0.744	0.026	-0.572	-0.039
e1_sic	0.245	0.235	0.085	1.000	-0.297	0.093	0.368	0.151	-0.194	0.117	-0.363	0.078	-0.337	0.126	-0.055	0.033	-0.152	-0.104	-0.331	-0.113	-0.222
e2_sic	0.073	-0.314	0.148	-0.297	1.000	0.153	0.121	0.408	0.170	0.151	-0.095	0.428	-0.111	0.453	0.126	0.597	0.023	-0.142	-0.183	-0.018	-0.294
e1_wsc	-0.093	-0.117	0.771	0.093	0.153	1.000	-0.048	0.130	-0.527	0.979	0.098	0.699	0.098	0.150	-0.640	0.145	-0.644	-0.992	0.036	-0.728	0.000
e2_wsc	0.556	0.009	-0.053	0.368	0.121	-0.048	1.000	0.656	-0.016	-0.024	-0.852	0.061	-0.523	0.592	0.245	0.391	0.107	0.046	-0.956	0.073	-0.783
e1_ssh	0.457	-0.225	0.166	0.151	0.408	0.130	0.656	1.000	0.039	0.104	-0.489	0.290	-0.243	0.971	0.064	0.777	0.064	-0.125	-0.765	-0.215	-0.930
e2_ssh	0.104	0.064	-0.317	-0.194	0.170	-0.527	-0.016	0.039	1.000	-0.549	-0.055	-0.434	-0.152	0.147	0.871	0.246	0.739	0.555	-0.037	0.803	-0.113
m1wsc_sic_WSC	-0.074	-0.130	0.724	0.117	0.151	0.979	-0.024	0.104	-0.549	1.000	0.099	0.722	0.111	0.122	-0.638	0.139	-0.660	-0.990	0.040	-0.716	0.009
m2wsc_sic_WSC	-0.640	-0.036	0.045	-0.363	-0.095	0.098	-0.852	-0.489	-0.055	0.099	1.000	0.004	0.750	-0.416	-0.271	-0.244	-0.069	-0.115	0.792	-0.148	0.571
m1wsc_sic_SIC	-0.009	-0.285	0.525	0.078	0.428	0.699	0.061	0.290	-0.434	0.722	0.004	1.000	0.101	0.281	-0.496	0.423	-0.716	-0.699	-0.050	-0.579	-0.140
m2wsc_sic_SIC	-0.424	-0.129	0.009	-0.337	-0.111	0.098	-0.523	-0.243	-0.152	0.111	0.750	0.101	1.000	-0.240	-0.291	-0.201	-0.179	-0.123	0.478	-0.178	0.272
m1ssh_sic_SSH	0.432	-0.246	0.200	0.126	0.453	0.150	0.592	0.971	0.147	0.122	-0.416	0.281	-0.240	1.000	0.131	0.848	0.140	-0.145	-0.724	-0.174	-0.911
m2ssh_sic_SSH	0.202	0.071	-0.461	-0.055	0.126	-0.640	0.245	0.064	0.871	-0.638	-0.271	-0.496	-0.291	0.131	1.000	0.180	0.794	0.657	-0.267	0.937	-0.249
m1ssh_sic_SIC	0.319	-0.338	0.227	0.033	0.597	0.145	0.391	0.777	0.246	0.139	-0.244	0.423	-0.201	0.848	0.180	1.000	0.167	-0.139	-0.497	-0.084	-0.691
m2ssh_sic_SIC	0.119	0.084	-0.391	-0.152	0.023	-0.644	0.107	0.064	0.739	-0.660	-0.069	-0.716	-0.179	0.140	0.794	0.167	1.000	0.656	-0.162	0.728	-0.186
m1wsc_ssh_WSC	0.087	0.120	-0.744	-0.104	-0.142	-0.992	0.046	-0.125	0.555	-0.990	-0.115	-0.699	-0.123	-0.145	0.657	-0.139	0.656	1.000	-0.042	0.744	0.003
m2wsc_ssh_WSC	-0.541	0.042	0.026	-0.331	-0.183	0.036	-0.956	-0.765	-0.037	0.040	0.792	-0.050	0.478	-0.724	-0.267	-0.497	-0.162	-0.042	1.000	-0.053	0.880
m1wsc_ssh_SSH	0.060	0.116	-0.572	-0.113	-0.018	-0.728	0.073	-0.215	0.803	-0.716	-0.148	-0.579	-0.178	-0.174	0.937	-0.084	0.728	0.744	-0.053	1.000	0.018
m2wsc_ssh_SSH	-0.514	0.159	-0.039	-0.222	-0.294	0.000	-0.783	-0.930	-0.113	0.009	0.571	-0.140	0.272	-0.911	-0.249	-0.691	-0.186	0.003	0.880	0.018	1.000
